URL,title,releaseDate,author,comment,publishedTimeText,replyCount,voteCount
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@JamesBond-j4b,This reviewer was so annoying,2024-11-04T22:26:27Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@ViktorAndy,Mentally preparing for GTA 6 reviews.,2024-10-21T16:40:12Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@francisoguah6950,Continue GTA V,2024-10-14T02:32:25Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@stonecoldsteverharvey7862,4 better,2024-10-13T11:49:51Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@Indy721,"Still waiting on GTA 6 in 2024.
2025 is supposed to be where ""X marks the spot""!",2024-10-01T02:48:10Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@Kingsloop,2024 anyone? Wish u all a happy life:-),2024-09-30T15:25:10Z,0,4
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@Anthony-dj4nd,$9 on Steam😊,2024-09-21T15:31:30Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@waxdoe115,"Its crazy when you get in the car to do a mission, the song playing in the car is similar to the situation you're in. Its sick.",2024-09-17T01:57:52Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@JetLagRecords,"IGN, yoo this video is heat",2024-08-30T16:25:28Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@bigk2624,Ewe.,2024-08-29T18:17:22Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@lucasrolon9478,"Gta vice city is better, san andreas too",2024-08-13T00:26:29Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@User37NiceFeet,"GTA 5 Game Rating:

Comedy: 10/10

Protagonists: 9.5/10

Antagonists: 6/10

Story: 9.8/10

Characters: 9.5/10

Overall Rating: 9.7/10",2024-07-21T01:18:38Z,2,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@celery-qj3rq,What why is this review done by a boring woman that probably doesn't know how to game right?,2024-07-10T13:51:46Z,1,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@e.j.2578,This review sounded like it came from someone who definitely didn't play the game,2024-06-05T23:45:28Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@LUXXEN-yx9hv,1:35 Look at what they said about gta4 back then. gta4 is overrated as hell these days,2024-05-13T19:44:39Z,2,4
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@racingstar6149,LOL,2024-04-30T06:37:12Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@joshuacarter2459,GTA V should've originally came out for the PS4 and Xbox One instead of Xbox 360 and PS3 and it also should've tookin' place in the fictional city of Los Ventures right along with Los Santos,2024-03-27T00:04:46Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@harunkarali720,"Just finished the story and decided to watch some reviews...
What a game, truely masterful. There's a holiday coming up, RDR2 is next :)",2024-03-23T23:08:25Z,2,4
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@abhinavsharma4609,Do we need a review for a gta game?,2024-03-11T12:03:41Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@shashannkchenna5197,1 yr to go,2024-03-02T08:20:56Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@trentonemy4241,"Sometimes it feels like in the period around release, reviews can miss the wider experience and nit pick smaller things in games.. but this reviewer seemed to get that this was heading towards being a timeless classic and really really nailed it ❣",2024-02-25T12:46:08Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@MaxiZamac,"Played it at launch and now I'm replaying this in first person mode, one of the best games ever made.",2024-02-21T16:59:20Z,0,4
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@ferdowsaziz5289,11 years later 😮 can’t believe it,2024-02-12T17:31:33Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@ArnoSchmidt22,The greatest game of all time.,2024-02-04T10:06:00Z,0,6
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@JOHNROCKS911,Can’t wait to play as Lucia and get her cheeks CLAPPED,2024-01-12T22:20:15Z,4,3
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@Piyushattr1,So many latest comments ❤this game is lit 🔥,2024-01-04T15:10:20Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@princephiri1844,Who else is here in 2024?,2024-01-02T11:35:59Z,1,4
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@foxriver1697,Who’s here after 10 years?💀,2023-12-22T10:34:58Z,1,8
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@AGL23,10 years later…,2023-12-18T03:50:14Z,0,5
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@chamilsantos9743,Like if you’re here in 2023,2023-12-17T22:23:30Z,0,5
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@Travis-guy-247,"The fact that this game got a 10/10 proves how much hype can skew people's views and make them biased. It was a 9/10 for sure, but definitely not a 10. Especially with how many bugs it had on launch, and the fact they marked RDR 1 down to a 9/10 for ""a few bugs"".",2023-12-15T09:02:24Z,0,7
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@MisterBobderJob,"7:44 ridiculous, GTA 4 to GTA 5 5 years ago. GTA 6 to GTA 5 gone be 12 years ago...",2023-12-12T16:15:25Z,0,3
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@neerajagrawal586,"it is still unbelievable how rockstar was able to do this on PS3 and Xbox 360 back in the day.
it will be amazing to see if they can bring this to Smartphones of today",2023-12-12T10:23:36Z,0,5
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@rileyvosper411,"It’s a 7/10, 8 max",2023-12-12T01:17:36Z,3,3
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@thepiratepenguin_,Can't believe we're finally closing in on GTA VI!,2023-12-11T04:40:15Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@iprince3787,This game will be played forever...,2023-12-10T10:14:57Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@sayejay,Who else came back after watching the GTA 6 trailer ? Wow man 10 years ago,2023-12-09T22:47:16Z,0,4
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@eduvivan2562,Who’s back here after gta 6 trailer?,2023-12-09T02:13:18Z,0,7
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@MCPlatinum-MCP829,The reviewer has no testosterone in his body,2023-12-09T01:03:45Z,1,5
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@itsjordanle,GTA 6 IS FINALLY CONFIRMED & COMING!!,2023-12-08T19:56:20Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@RISHABHLakhmani,Here after GTA VI trailer,2023-12-08T16:22:15Z,0,4
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@AM-mv6ro,Mark my words. GTA 6 is going to break the internet!,2023-12-08T12:42:59Z,0,4
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@suplexorcist316,Here after seeing the GTA6 trailer and just being stoked for it all . Started playing through GTA5 again.,2023-12-08T12:41:05Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@carlosdelacruz7575,Who’s here after the gta 6 trailer?,2023-12-07T14:50:16Z,0,6
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@HestLaw,gta 6 trailer dropped yo,2023-12-07T13:50:32Z,0,3
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@ianstars295,Just imagine the Reviews for GTA VI 🤯🤯🤯,2023-12-07T11:49:08Z,0,5
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@controllerbrain,Great review for gta6,2023-12-07T11:13:40Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@frankolney1017,How three hell this lady end up being the one to do the review 😑,2023-12-07T03:06:03Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@chokoon21,It still feels unbelievable to me that you get to experience 2 full GTA titles in a single console generation PS3.,2023-12-07T02:52:51Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@Vxprr,Love for this reviewer to review GTA VI as well.,2023-12-06T16:52:44Z,0,3
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@gerrablends9326,Who else came here after gta 6 trailer,2023-12-06T06:09:17Z,0,11
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@jaquan123ism,rockstar always sets the bar higher see yall in 2025🎉🎉🎉🎉🎉🎉🎉🎉,2023-12-06T03:24:21Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@societynewsnetwork5973,To the first game to Gta6..how sway 😂😂,2023-12-06T03:07:39Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@gaborstier629,Who is watching this after GTA 6 trailer has dropped?,2023-12-05T17:15:15Z,0,8
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@jamesp5923,Who watched this after seeing the GTA 6 trailer,2023-12-05T05:38:20Z,0,9
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@Tonyballs_1,Who’s here after gta 6 trailer just released it’s crazy,2023-12-05T00:05:18Z,2,9
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@Bernard1127,Why are we still here? Just to suffer?,2023-12-04T17:01:20Z,1,4
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@thatbencrane,Here in 2023 waiting for GTA 6,2023-12-03T19:49:51Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@Jovi-k6z,"Peopleeeeee
Gta 6 trailer is in 2 daysssss",2023-12-03T16:40:05Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@bubblegumgo,can't wait to play this,2023-12-01T21:22:09Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@pierrepowe326,Who’s here after the trailer date announcement?,2023-12-01T18:28:42Z,0,3
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@preenadaraji1979,Just bought today cant wait to play,2023-11-28T11:36:24Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@siemabyq6703,Gta 6 trailer in a week so yt decided to put this video on my main page,2023-11-27T06:50:23Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@harryml7171,"10 years later, it is still one of the few outstanding games. A decade later, it remains one of the most revolutionary open-world games ever released.",2023-11-24T05:25:29Z,0,19
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@ttylerjames,who’s here before the GTA 6 Trailer,2023-11-21T14:17:54Z,1,3
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@psentertaiment2020,"few weeks away from  gta 6 trailer, just gives cme chills",2023-11-21T14:05:16Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@liambacon7060,"10 years later still playing this and talking about it all the time 
It truly is one of the very best video games ever made",2023-11-21T04:36:07Z,0,18
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@hadilacounty6700,GTA 6 trailer next month December 2023,2023-11-20T16:30:43Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@luanvegas9773,Gta 6 is coming!,2023-11-19T21:34:39Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@ubaidimran3876,Watching it before gta 6 trailer drops next month finally we will get what we have even been dreaming of,2023-11-18T18:00:48Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@kanhaiyalaltanwar4633,Not me watching this a month before the launch of GTA 6 trailer.,2023-11-17T11:51:30Z,1,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@earlleejustinergs8,“10y ago” and still no GTA 6. *sigh*,2023-11-16T22:31:41Z,2,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@InfinityKennedy,"This game came out 10 years ago, and now GTA 6 trailer is about to drop next month.",2023-11-16T21:05:25Z,1,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@Crazyass699,"Woow , it looks interesting ...",2023-11-16T14:21:56Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@MuchCow9000,Ty youtube for taking us down memory lane a few weeks away from the GTA 6 trailer,2023-11-16T07:40:11Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@7amoka,"10 years later, and it’s still one of the best games ever",2023-11-16T07:37:40Z,0,14
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@bearpoop720,"11 years later, and we will have the GTA 6 review.",2023-11-15T23:01:29Z,0,0
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@PakLahOfficial,GTA VI gonna be MASTERPIECE after 13 years released of GTA V!,2023-11-14T12:02:04Z,0,1
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@pandaguy1368,🤌,2023-11-14T09:40:13Z,0,2
https://www.youtube.com/watch?v=_UB5hpk0iqg,GTA 5 - Review,2013-09-16T14:26:01Z,@MMaRsu,"Remember kids, this was a PS3/Xbox 360 game at launch.",2023-11-14T04:29:38Z,0,7
